@relation accelerometer_features

@attribute fft_coef_00 numeric
@attribute fft_coef_01 numeric
@attribute fft_coef_02 numeric
@attribute fft_coef_03 numeric
@attribute fft_coef_04 numeric
@attribute fft_coef_05 numeric
@attribute fft_coef_06 numeric
@attribute fft_coef_07 numeric
@attribute fft_coef_08 numeric
@attribute fft_coef_09 numeric
@attribute fft_coef_10 numeric
@attribute fft_coef_11 numeric
@attribute fft_coef_12 numeric
@attribute fft_coef_13 numeric
@attribute fft_coef_14 numeric
@attribute fft_coef_15 numeric
@attribute fft_coef_16 numeric
@attribute fft_coef_17 numeric
@attribute fft_coef_18 numeric
@attribute fft_coef_19 numeric
@attribute fft_coef_20 numeric
@attribute fft_coef_21 numeric
@attribute fft_coef_22 numeric
@attribute fft_coef_23 numeric
@attribute fft_coef_24 numeric
@attribute fft_coef_25 numeric
@attribute fft_coef_26 numeric
@attribute fft_coef_27 numeric
@attribute fft_coef_28 numeric
@attribute fft_coef_29 numeric
@attribute fft_coef_30 numeric
@attribute fft_coef_31 numeric
@attribute fft_coef_32 numeric
@attribute fft_coef_33 numeric
@attribute fft_coef_34 numeric
@attribute fft_coef_35 numeric
@attribute fft_coef_36 numeric
@attribute fft_coef_37 numeric
@attribute fft_coef_38 numeric
@attribute fft_coef_39 numeric
@attribute fft_coef_40 numeric
@attribute fft_coef_41 numeric
@attribute fft_coef_42 numeric
@attribute fft_coef_43 numeric
@attribute fft_coef_44 numeric
@attribute fft_coef_45 numeric
@attribute fft_coef_46 numeric
@attribute fft_coef_47 numeric
@attribute fft_coef_48 numeric
@attribute fft_coef_49 numeric
@attribute fft_coef_50 numeric
@attribute fft_coef_51 numeric
@attribute fft_coef_52 numeric
@attribute fft_coef_53 numeric
@attribute fft_coef_54 numeric
@attribute fft_coef_55 numeric
@attribute fft_coef_56 numeric
@attribute fft_coef_57 numeric
@attribute fft_coef_58 numeric
@attribute fft_coef_59 numeric
@attribute fft_coef_60 numeric
@attribute fft_coef_61 numeric
@attribute fft_coef_62 numeric
@attribute fft_coef_63 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
283.957685,33.922538,42.496546,31.182733,8.306631,8.651097,9.614372,7.306838,4.240526,6.729784,4.942074,2.912533,4.749034,3.188793,3.889952,3.823145,3.290656,3.678462,3.164137,2.821036,2.661357,2.318217,2.170033,1.981653,1.660081,1.84327,1.672468,1.836432,1.583642,1.956422,2.043785,1.882286,1.766293,1.882286,2.043785,1.956422,1.583642,1.836432,1.672468,1.84327,1.660081,1.981653,2.170033,2.318217,2.661357,2.821036,3.164137,3.678462,3.290656,3.823145,3.889952,3.188793,4.749034,2.912533,4.942074,6.729784,4.240526,7.306838,9.614372,8.651097,8.306631,31.182733,42.496546,33.922538,6.974132,walking
253.856595,47.628486,22.244601,23.360663,36.94978,22.897535,14.239134,3.262554,9.554069,2.777085,0.952021,0.96025,4.034281,0.617464,1.515506,1.636168,0.168894,2.068017,0.85434,0.626886,0.939335,0.762096,0.395612,0.208193,0.564733,0.176244,0.501976,0.859748,0.415048,0.620435,0.575571,0.295533,0.852263,0.295533,0.575571,0.620435,0.415048,0.859748,0.501976,0.176244,0.564733,0.208193,0.395612,0.762096,0.939335,0.626886,0.85434,2.068017,0.168894,1.636168,1.515506,0.617464,4.034281,0.96025,0.952021,2.777085,9.554069,3.262554,14.239134,22.897535,36.94978,23.360663,22.244601,47.628486,7.542006,walking
277.108878,68.380638,16.453434,23.15342,16.134319,4.381402,9.308647,4.850534,2.111753,3.222122,1.444832,1.568167,0.964845,1.113026,0.22403,0.451667,0.630546,0.53654,0.257636,0.537294,0.335769,0.583683,0.552928,0.57581,0.48629,0.417583,0.453074,0.438949,0.467725,0.569394,0.468021,0.433379,0.148713,0.433379,0.468021,0.569394,0.467725,0.438949,0.453074,0.417583,0.48629,0.57581,0.552928,0.583683,0.335769,0.537294,0.257636,0.53654,0.630546,0.451667,0.22403,1.113026,0.964845,1.568167,1.444832,3.222122,2.111753,4.850534,9.308647,4.381402,16.134319,23.15342,16.453434,68.380638,7.257599,walking
382.575933,26.405095,52.19517,90.490127,79.138583,58.335758,8.165721,16.970458,18.972732,11.443009,12.714833,10.504443,8.403283,7.239413,0.932758,4.556918,3.693839,2.338161,2.477767,1.345249,0.478252,1.942797,1.996026,1.397467,2.775794,1.933286,1.35721,0.962686,0.908113,2.255123,1.362223,1.376745,0.977429,1.376745,1.362223,2.255123,0.908113,0.962686,1.35721,1.933286,2.775794,1.397467,1.996026,1.942797,0.478252,1.345249,2.477767,2.338161,3.693839,4.556918,0.932758,7.239413,8.403283,10.504443,12.714833,11.443009,18.972732,16.970458,8.165721,58.335758,79.138583,90.490127,52.19517,26.405095,14.825488,walking
228.754769,36.00726,27.708144,35.02425,11.324071,14.861655,8.99421,22.532551,1.979639,4.932527,3.981422,4.474486,4.108967,1.590846,1.406921,3.373407,1.144606,1.419471,1.075663,1.160932,0.54179,1.717303,0.339017,0.964828,0.942795,0.38457,0.998961,0.734704,0.930045,0.515717,0.814923,0.467736,0.52352,0.467736,0.814923,0.515717,0.930045,0.734704,0.998961,0.38457,0.942795,0.964828,0.339017,1.717303,0.54179,1.160932,1.075663,1.419471,1.144606,3.373407,1.406921,1.590846,4.108967,4.474486,3.981422,4.932527,1.979639,22.532551,8.99421,14.861655,11.324071,35.02425,27.708144,36.00726,6.626013,walking
299.074579,65.11149,41.824228,9.105918,23.85232,10.893929,24.511814,32.720101,10.200109,6.583081,9.287556,2.827903,3.335383,0.793675,2.45786,0.544503,2.605511,2.040084,0.604742,1.23076,2.018804,1.2691,1.113183,0.989903,0.289142,0.47541,1.097576,1.220546,1.2087,0.892265,0.841923,0.748414,0.252443,0.748414,0.841923,0.892265,1.2087,1.220546,1.097576,0.47541,0.289142,0.989903,1.113183,1.2691,2.018804,1.23076,0.604742,2.040084,2.605511,0.544503,2.45786,0.793675,3.335383,2.827903,9.287556,6.583081,10.200109,32.720101,24.511814,10.893929,23.85232,9.105918,41.824228,65.11149,8.479105,walking
341.694045,92.74877,27.697396,50.86538,28.201534,32.569834,9.800908,18.336534,12.811669,15.486269,12.682361,6.704962,5.077178,5.845928,3.891826,4.12103,1.613965,2.254484,1.803999,2.688812,2.911343,2.802997,2.672492,2.869227,3.395083,2.865428,2.78606,2.620709,2.630759,2.479445,2.675053,2.663031,2.150566,2.663031,2.675053,2.479445,2.630759,2.620709,2.78606,2.865428,3.395083,2.869227,2.672492,2.802997,2.911343,2.688812,1.803999,2.254484,1.613965,4.12103,3.891826,5.845928,5.077178,6.704962,12.682361,15.486269,12.811669,18.336534,9.800908,32.569834,28.201534,50.86538,27.697396,92.74877,14.487638,walking
403.257317,119.140577,48.145909,32.343948,31.425352,17.208505,15.578162,28.618272,17.488122,3.015683,10.781894,6.856898,6.690625,7.335703,3.225166,6.015682,6.746223,5.92194,5.119014,3.525465,4.850808,4.382858,4.14977,4.18584,3.842447,4.333272,4.070772,4.259387,3.725939,3.335109,3.221272,4.117608,4.260882,4.117608,3.221272,3.335109,3.725939,4.259387,4.070772,4.333272,3.842447,4.18584,4.14977,4.382858,4.850808,3.525465,5.119014,5.92194,6.746223,6.015682,3.225166,7.335703,6.690625,6.856898,10.781894,3.015683,17.488122,28.618272,15.578162,17.208505,31.425352,32.343948,48.145909,119.140577,12.600032,walking
256.558624,64.297592,21.907255,27.641444,12.427272,17.797387,19.72296,16.911743,10.880915,4.93923,3.835484,4.906206,1.26571,0.344724,2.128615,1.952972,2.480476,1.589681,1.518955,1.4209,2.068393,1.796146,1.607304,1.661714,1.526286,1.133215,1.092726,1.324879,1.449085,1.41086,1.180225,1.378276,1.848784,1.378276,1.180225,1.41086,1.449085,1.324879,1.092726,1.133215,1.526286,1.661714,1.607304,1.796146,2.068393,1.4209,1.518955,1.589681,2.480476,1.952972,2.128615,0.344724,1.26571,4.906206,3.835484,4.93923,10.880915,16.911743,19.72296,17.797387,12.427272,27.641444,21.907255,64.297592,7.434571,walking
399.848038,39.274833,16.233825,26.353671,26.387696,25.969456,24.038155,17.129127,3.905701,3.037368,3.012595,8.08549,4.248637,3.948712,2.969173,1.905385,1.019797,1.030208,1.567464,1.082901,1.247263,0.293628,0.150972,0.911371,1.164156,1.196865,0.77647,0.598727,0.440875,0.6651,0.851869,0.453868,0.112074,0.453868,0.851869,0.6651,0.440875,0.598727,0.77647,1.196865,1.164156,0.911371,0.150972,0.293628,1.247263,1.082901,1.567464,1.030208,1.019797,1.905385,2.969173,3.948712,4.248637,8.08549,3.012595,3.037368,3.905701,17.129127,24.038155,25.969456,26.387696,26.353671,16.233825,39.274833,11.174784,walking
